Local Date, Local Time, Day Type ID,Flow1,Flow2,Flow3,Flow4,Flow5
2016/2/1,0:14:00,0,49,85,56,81,71
2016/2/1,0:29:00,0,38,82,45,71,49
2016/2/1,0:44:00,0,36,47,28,49,45
2016/2/1,0:59:00,0,29,63,28,45,45
2016/2/1,1:14:00,0,36,49,26,45,41
2016/2/1,1:29:00,0,21,49,30,41,37
2016/2/1,1:44:00,0,23,40,30,37,38
2016/2/1,1:59:00,0,26,44,24,38,37
2016/2/1,2:14:00,0,24,37,23,37,28
2016/2/1,2:29:00,0,26,39,15,28,37
2016/2/1,2:44:00,0,18,43,30,37,44
2016/2/1,2:59:00,0,25,44,27,44,46
2016/2/1,3:14:00,0,23,42,38,46,61
2016/2/1,3:29:00,0,22,64,50,61,75
2016/2/1,3:44:00,0,29,82,48,75,106
2016/2/1,3:59:00,0,40,89,71,106,121
2016/2/1,4:14:00,0,48,115,80,121,121
2016/2/1,4:29:00,0,50,138,75,121,150
2016/2/1,4:44:00,0,59,154,102,150,207
2016/2/1,4:59:00,0,65,194,134,207,257
2016/2/1,5:14:00,0,107,258,180,257,323
2016/2/1,5:29:00,0,173,331,237,323,439
2016/2/1,5:44:00,0,243,407,330,439,502
2016/2/1,5:59:00,0,260,474,363,502,530
2016/2/1,6:14:00,0,340,554,422,530,748
2016/2/1,6:29:00,0,556,708,539,748,848
2016/2/1,6:44:00,0,919,846,609,848,981
2016/2/1,6:59:00,0,1100,1055,694,981,1030
2016/2/1,7:14:00,0,1219,1229,685,1030,1048
2016/2/1,7:29:00,0,1323,1479,678,1048,1043
2016/2/1,7:44:00,0,1316,1536,643,1043,1021
2016/2/1,7:59:00,0,940,1572,644,1021,950
2016/2/1,8:14:00,0,1001,1591,633,950,891
2016/2/1,8:29:00,0,589,1484,600,891,951
2016/2/1,8:44:00,0,448,1431,604,951,925
2016/2/1,8:59:00,0,548,1134,574,925,907
2016/2/1,9:14:00,0,644,1035,555,907,818
2016/2/1,9:29:00,0,627,980,550,818,741
2016/2/1,9:44:00,0,552,947,487,741,700
2016/2/1,9:59:00,0,505,938,450,700,675
2016/2/1,10:14:00,0,411,896,466,675,702
2016/2/1,10:29:00,0,452,796,452,702,740
2016/2/1,10:44:00,0,387,908,474,740,672
2016/2/1,10:59:00,0,369,819,437,672,687
2016/2/1,11:14:00,0,401,907,418,687,690
2016/2/1,11:29:00,0,422,863,456,690,725
2016/2/1,11:44:00,0,453,819,480,725,745
2016/2/1,11:59:00,0,440,895,479,745,739
2016/2/1,12:14:00,0,380,911,474,739,723
2016/2/1,12:29:00,0,359,903,458,723,807
2016/2/1,12:44:00,0,409,914,517,807,736
2016/2/1,12:59:00,0,379,881,445,736,756
2016/2/1,13:14:00,0,443,947,519,756,768
2016/2/1,13:29:00,0,413,965,505,768,821
